corrida;secao;acoatual;qualidade;al_min;c_min;c_max;n_min;s_min;sequencia;sequenciatotal;panela;vidapanela;tempociclo;tempovacuototal;temperaturaliquidus;temperaturasaidafp;temperaturaobjetivada
5400;90.0;C5D49B18;7D015357;0.02;0.16;0.18;0.01;0.01;4.0;6.0;7.0;34.0;279.0;46.0;1506.0;1670;1551.0
5399;90.0;CEB45035;7D015357;0.02;0.17;0.2;0.01;0.01;3.0;6.0;6.0;30.0;1084.0;46.0;1506.0;1669;1551.0
5398;90.0;7CFF8299;7D015357;0.02;0.15;0.17;0.01;0.01;2.0;6.0;3.0;5.0;286.0;46.0;1506.0;1666;1551.0
5397;90.0;0A8B0913;92B3EDD4;0.02;0.19;0.24;0.01;0.01;1.0;6.0;2.0;61.0;293.0;39.0;1502.0;1667;1547.0
5396;90.0;2161033D;4C9F89E7;0.03;0.19;0.22;0.01;0.03;8.0;8.0;8.0;49.0;313.0;34.0;1512.0;1676;1557.0
5395;90.0;76B83055;17D537B5;0.02;0.17;0.2;0.01;0.02;7.0;8.0;7.0;33.0;0.0;34.0;1509.0;1685;1554.0
5394;90.0;48303D66;71A937D5;0.01;0.38;0.42;0.0;0.02;6.0;8.0;6.0;29.0;803.0;34.0;1487.0;1648;1542.0
5393;90.0;CF2E2794;71A937D5;0.02;0.42;0.47;0.0;0.02;5.0;8.0;3.0;4.0;0.0;34.0;1487.0;1673;1542.0
5392;90.0;0A93664D;71A937D5;0.02;0.43;0.49;0.0;0.02;4.0;8.0;2.0;60.0;0.0;34.0;1487.0;1663;1542.0
5391;90.0;58C41BA9;71A937D5;0.02;0.45;0.51;0.0;0.02;3.0;8.0;8.0;48.0;0.0;34.0;1487.0;1675;1542.0
5390;90.0;2833507C;71A937D5;0.02;0.41;0.46;0.0;0.02;1.0;8.0;6.0;28.0;309.0;41.0;1487.0;1667;1542.0
5388;90.0;373864A9;71A937D5;0.02;0.52;0.58;0.0;0.03;4.0;6.0;3.0;3.0;561.0;34.0;1487.0;1660;1542.0
5387;90.0;60BEA8B9;71A937D5;0.02;0.5;0.56;0.0;0.02;3.0;6.0;7.0;31.0;576.0;34.0;1487.0;1645;1542.0
5386;90.0;B2F12527;71A937D5;0.01;0.38;0.43;0.0;0.02;2.0;6.0;8.0;47.0;302.0;34.0;1487.0;1644;1542.0
5385;90.0;477082A7;71A937D5;0.02;0.44;0.5;0.0;0.02;1.0;6.0;6.0;27.0;0.0;34.0;1487.0;1683;1542.0
5384;90.0;AF930A45;D927D5F2;0.02;0.16;0.18;0.01;0.02;7.0;7.0;2.0;59.0;243.0;32.0;1507.0;1663;1551.0
5383;90.0;0DF5304F;8F93E3D1;0.01;0.49;0.58;0.0;0.0;6.0;7.0;3.0;2.0;248.0;34.0;1487.0;1647;1532.0
5382;90.0;2CFBFB71;BFEB6EA0;0.02;0.36;0.4;0.0;0.02;5.0;7.0;7.0;30.0;280.0;34.0;1483.0;1643;1538.0
5381;90.0;A258C1D5;BFEB6EA0;0.02;0.33;0.37;0.0;0.02;4.0;7.0;8.0;46.0;0.0;34.0;1483.0;1660;1538.0
5380;90.0;CA7C7A1B;BFEB6EA0;0.02;0.39;0.43;0.0;0.02;3.0;7.0;2.0;58.0;0.0;34.0;1483.0;1657;1538.0
5379;90.0;9F650377;BFEB6EA0;0.02;0.33;0.37;0.0;0.02;2.0;7.0;3.0;1.0;0.0;34.0;1483.0;1664;1538.0
5378;90.0;5FCD2F9D;BFEB6EA0;0.02;0.47;0.53;0.0;0.02;1.0;7.0;7.0;29.0;0.0;34.0;1483.0;1684;1538.0
5377;180.0;59B15FD6;19008928;0.01;0.4;0.44;0.0;0.02;3.0;3.0;6.0;26.0;7970.0;46.0;1474.0;1649;1530.0
5376;180.0;3BC6941E;19008928;0.01;0.49;0.54;0.0;0.02;2.0;3.0;8.0;45.0;941.0;46.0;1474.0;1644;1530.0
5375;180.0;697D8113;F852E2F5;0.01;0.56;0.6;0.02;0.08;1.0;3.0;15.0;25.0;1928.0;60.0;1470.0;1663;1515.0
